"Flaeche","n_trees","n_species","n_ash","n_plot_total","n_plot_rand","n_plot_zaun","n_plot_keinebaeume","n_plot_baeume","baume_pro_plot","n_ets_new","n_ets_old","n_ets_total","median_height","ets_ratio"
"Schotten",2055,13,396,107,13,2,22,70,29.4,37,25,49,165,0.123737373737374
"Mollenfelde",685,14,174,94,25,0,39,30,22.8,15,12,22,135,0.126436781609195
"Huy",2491,9,1963,74,4,2,7,61,40.8,49,70,118,99,0.0601120733571065
"Weisweil",2559,14,59,72,7,0,7,58,44.1,3,6,5,108,0.0847457627118644
"Plattenwald",2103,11,316,77,1,0,2,74,28.4,39,23,47,124,0.14873417721519
"Leutzsch",1750,14,579,87,0,0,9,78,22.4,69,61,92,172,0.158894645941278
"Ettersberg",2882,10,1860,81,0,0,2,79,36.5,64,45,94,90,0.0505376344086022
"Stegelitz",1240,14,487,90,0,0,16,74,16.8,11,22,31,161,0.0636550308008214
"Greifswald",219,6,84,98,0,0,56,42,5.2,4,0,9,121,0.107142857142857
"1",15984,34,5918,780,50,4,160,566,27.3777777777778,291,264,467,120,0.0789117945251774
